,MÃ CK,TÊN CÔNG TY,GIÁ,SÀN
2090,VIETSOVPETRO,Liên doanh Việt - Nga Vietsovpetro,,OTC
2091,VIETTEL,Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel),,OTC
2092,VIETTELSTORE,Công ty TNHH NN MTV Thương mại và XNK Viettel,,OTC
2093,VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP,22.5,Upcom
2094,VIFON,CTCP Kỹ nghệ thực phẩm Việt Nam,,OTC
2095,VIG,Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam,1.3,HNX
2096,VIGECAM,Tổng Công ty Vật tư Nông nghiệp - Công ty TNHH MTV,,OTC
2097,VIGROUP,VI (Vietnam Invesments) Group,,OTC
2098,VIH,Công ty Cổ phần Viglacera Hà Nội,21.1,Upcom
2099,VIM,Công ty Cổ phần Khoáng sản Viglacera,18.8,Upcom
2100,VIN,CTCP Giao nhận Kho vận Ngoại thương Việt Nam,13,Upcom
2101,VINACAFE,Tổng Công ty Cà phê Việt Nam - Công ty TNHH MTV,,OTC
2102,VINACAM,CTCP Vinacam,,OTC
2103,VINACAP,VinaCapital,,OTC
2104,VINACCO,Tổng Công ty Xây dựng Nông nghiệp Việt Nam - CTCP,,OTC
2105,VINACHEM,Tập đoàn Hóa chất Việt Nam,,OTC
2106,VINACOMIN,Tập đoàn Công nghiệp Than - Khoáng sản Việt nam,,OTC
2107,VINAGLOBAL,Công ty Cổ phần Chứng khoán Toàn Cầu,,OTC
2108,VINAMED,Tổng Công ty Thiết bị Y tế Việt Nam - CTCP,,OTC
2109,VINAMOTOR,Tổng Công ty Công nghiệp Ô tô Việt Nam - CTCP,,OTC
2110,VINAPACO,Tổng Công ty Giấy Việt Nam,,OTC
2111,VINASTAR,Công ty TNHH ô tô Mitsubishi  Việt Nam,,OTC
2112,VINASUGAR1,Tổng Công ty Mía đường I - CTCP,,OTC
2113,VINASUGAR2,Tổng Công ty Mía đường II - CTCP,,OTC
2114,VINATABA,Tổng Công ty Thuốc lá Việt Nam - Công ty TNHH MTV,,OTC
2115,VINATEA,Tổng Công ty Chè Việt Nam,,OTC
2116,VINAWACO,Tổng Công ty Xây dựng Đường thủy - CTCP,,OTC
2117,VINAWEALTH,Công ty Cổ phần Quản lý Quỹ VINAWEALTH,,OTC
2118,VINAXUKI,CTCP Ô tô Xuân Kiên Vinaxuki,,OTC
2119,VINECOM,Công ty TNHH VinE-com,,OTC
2120,VINFAST,Công ty TNHH Sản Xuất và Kinh Doanh Vinfast,,OTC
2121,VINMART,CTCP Siêu thị VinMart,,OTC
2122,VINMEC,CTCP Bệnh viện Đa khoa Quốc tế Vinmec,,OTC
2123,VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,5.61,HSX
2124,VIPC,Công ty Cổ phần Quản lý Quỹ Đầu tư VIPC,,OTC
2125,VIR,Công ty cổ phần Du lịch Quốc tế Vũng Tàu,9.1,Upcom
2126,VIS,Công ty Cổ phần Thép Việt Ý,17.1,HSX
2127,VISSAI,Công ty TNHH Tập đoàn Hoàng Phát Vissai,,OTC
2128,VIT,Công ty Cổ phần Viglacera Tiên Sơn,14.1,HNX
2129,VITS,Công ty Cổ phần Chứng khoán VIT,,OTC
2130,VIW,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam - CTCP,7.3,Upcom
2131,VIX,Công ty cổ phần Chứng khoán IB,6.7,HNX
2132,VJC,Công ty cổ phần Hàng không VietJet,130.7,HSX
2133,VKC,Công ty cổ phần Cáp Nhựa Vĩnh Khánh,3.8,HNX
2134,VKD,Công ty Cổ phần Nước khoáng Khánh Hòa,25.8,Upcom
2135,VKP,Công ty Cổ phần Nhựa Tân Hóa,0.5,Upcom
2136,VLA,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn  Lang,21,HNX
2137,VLB,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,32.7,Upcom
2138,VLC,Tổng Công ty Chăn nuôi Việt Nam - CTCP,17.4,Upcom
2139,VLD,Công ty Cổ phần Bất Động Sản Viettronics,,OTC
2140,VLF,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,0.7,Upcom
2141,VLG,CTCP Vinalines Logistics - Việt Nam,5.1,Upcom
2142,VLP,Công ty Cổ phần Công trình công cộng Vĩnh Long,2.4,Upcom
2143,VLW,Công ty Cổ phần Cấp nước Vĩnh Long,12.7,Upcom
2144,VMA,Công ty cổ phần Công nghiệp Ô tô – Vinacomin,9,Upcom
2145,VMC,Công ty Cổ phần Vimeco,13.7,HNX
2146,VMD,Công ty cổ phần Y Dược phẩm Vimedimex,19.6,HSX
2147,VMEP,Công ty TNHH Chế tạo công nghiệp và gia công chế biến hàng xuất khẩu Việt Nam,,OTC
2148,VMG,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu,2.6,Upcom
2149,VMI,Công ty Cổ phần Khoáng sản và Đầu tư VISACO,0.6,HNX
2150,VMS,CTCP Phát triển Hàng hải,8.4,HNX
2151,VMSN,Tổng Công ty Bảo đảm an toàn hàng hải miền Bắc,,OTC
2152,VMSS,Tổng Công ty Bảo đảm an toàn hàng hải miền Nam,,OTC
2153,VNA,Công ty Cổ phần Vận tải Biển Vinaship,4.7,Upcom
2154,VNAC,Công ty Cổ phần Quản lý quỹ Đầu tư Chứng khoán Liên Minh Việt Nam,,OTC
2155,VNB,CTCP Sách Việt Nam,16.1,Upcom
2156,VNC,Công ty Cổ phần Tập đoàn Vinacontrol,38.7,HNX
2157,VND,Công ty cổ phần Chứng khoán VNDIRECT,15.2,HSX
2158,VNE,Tổng công ty Cổ phần Xây dựng điện Việt Nam,4.04,HSX
2159,VNF,Công ty cổ phần Vinafreight,20.2,HNX
2160,VNF1,Tổng Công ty Lương thực Miền Bắc,,OTC
2161,VNG,Công ty Cổ phần Du lịch Thành Thành Công,22.05,HSX
2162,VNGX,CTCP VNG,,OTC
2163,VNH,Công ty Cổ phần Đầu tư Việt Việt Nhật,0.8,Upcom
2164,VNHELICOPTER,Tổng Công ty Trực thăng Việt Nam - Công ty TNHH,,OTC
2165,VNHOLDING,Vietnam Holding Limited,,OTC
2166,VNI,Công ty cổ phần Đầu tư Bất động sản Việt Nam,8.7,Upcom
2167,VNL,Công ty cổ phần Logistics Vinalink,14.7,HSX
2168,VNM,Công ty Cổ phần Sữa Việt Nam,124.5,HSX
2169,VNMETF,Market Vectors Vietnam ETF,,OTC
2170,VNN,Công ty cổ phần Đầu tư và Thương mại VNN,5.5,Upcom
2171,VNOMAN,Vietnam Oman Investment,,OTC
2172,VNP,Công ty cổ phần Nhựa Việt Nam,5.4,Upcom
2173,VNPOST,Tổng Công ty Bưu điện Việt Nam,,OTC
2174,VNPT,Tập đoàn Bưu chính Viễn thông Việt Nam,,OTC
2175,VNR,Tổng Công ty Cổ phần Tái bảo hiểm quốc gia Việt Nam,21.8,HNX
2176,VNRAILWAYS,Tổng Công ty Đường sắt Việt Nam,,OTC
2177,VNS,Công ty Cổ phần Ánh Dương Việt Nam,14.15,HSX
2178,VNSC,Công ty Cổ phần Chứng khoán VINA,,OTC
2179,VNT,Công ty cổ phần Giao nhận Vận tải Ngoại thương,30.2,HNX
2180,VNX,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại,51,Upcom
2181,VNY,Công ty Cổ phần Thuốc Thú y Trung ương I,5.1,Upcom
2182,VOC,Tổng Công ty Công nghiệp Dầu thực vật Việt Nam - CTCP,16.6,Upcom
2183,VOS,Công ty Cổ phần Vận tải biển Việt Nam,1.5,HSX
2184,VPA,CTCP Vận tải Hóa dầu VP,2.3,Upcom
2185,VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,19.65,HSX
2186,VPBS,Công ty TNHH Chứng khoán Ngân hàng TMCP Việt Nam Thịnh Vượng,,OTC
2187,VPC,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Việt Nam,1,Upcom
2188,VPD,Công ty cổ phần Phát triển Điện lực Việt Nam,16.9,HSX
2189,VPG,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,21,HSX
2190,VPH,Công ty Cổ phần Vạn Phát Hưng,5.3,HSX
2191,VPI,Công ty Cổ phần Đầu tư Văn Phú - Invest,41.45,HSX
2192,VPK,Công ty Cổ phần Bao bì dầu thực vật,3.55,HSX
2193,VPL,Công ty TNHH Một thành viên Vinpearl,2.01,HSX
2194,VPR,CTCP In và Thương mại Vina,13,Upcom
2195,VPS,CTCP Thuốc sát trùng Việt Nam,10.4,HSX
2196,VPW,Công ty Cổ phần Cấp thoát nước số 1 Vĩnh Phúc,11.1,Upcom
2197,VQC,Công ty Cổ phần Giám định Vinacomin,11.5,Upcom
2198,VQSC,Công ty Cổ phần Chứng khoán Việt Quốc,,OTC
2199,VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC,15.7,HSX
2200,VRE,Công ty Cổ phần Vincom Retail,37.2,HSX
2201,VRG,CTCP Phát triển đô thị và Khu công nghiệp Cao su Việt Nam,15.2,Upcom
2202,VSA,Công ty cổ phần Đại lý Hàng hải Việt Nam,18,HNX
2203,VSC,Công ty cổ phần Tập đoàn Container Việt Nam,31.75,HSX
2204,VSCS,Công ty Cổ phần Chứng khoán Việt,,OTC
2205,VSE,Công ty cổ phần Dịch vụ Đường cao tốc Việt Nam,6.5,Upcom
2206,VSEC,Công ty Cổ phần Chứng khoán Việt Nam,,OTC
2207,VSF,Tổng Công ty Lương thực Miền Nam - Công ty cổ phần,8,Upcom
2208,VSG,Công ty Cổ phần Container Phía Nam,2.1,Upcom
2209,VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,18.8,HSX
2210,VSI,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,24.8,HSX
2211,VSIP,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam - Singapore,,OTC
2212,VSIV,Công ty cổ phần VS Industry Vietnam,,OTC
2213,VSM,Công ty Cổ phần Container Miền Trung,11.2,HNX
2214,VSN,CTCP Việt Nam Kỹ nghệ Súc sản,35.9,Upcom
2215,VSP,Công ty cổ phần Vận tải biển và Bất động sản Việt Hải,1.1,Upcom
2216,VST,Công ty Cổ phần Vận tải và Thuê tàu biển Việt Nam,0.5,Upcom
2217,VT1,Công ty Cổ phần Vật tư Bến Thành,25,Upcom
2218,VT8,Công ty Cổ phần Dịch vụ Vận tải ô tô số 8,25,Upcom
2219,VTA,Công ty Cổ phần Vitaly,7.7,Upcom
2220,VTB,Công ty Cổ phần Viettronics Tân Bình,15.2,HSX
2221,VTC,Công ty Cổ phần Viễn thông VTC,7,HNX
2222,VTCC,CTCP Quản lý Quỹ Việt Tín,,OTC
2223,VTCCORP,Tổng Công ty Truyền thông đa phương tiện VTC,,OTC
2224,VTCINTECOM,Công ty VTC Công nghệ và Nội dung số,,OTC
2225,VTCONLINE,CTCP VTC Truyền thông Trực tuyến,,OTC
2226,VTE,Công ty cổ phần Viễn thông Điện tử Vinacap,5.8,Upcom
2227,VTF,Công ty Cổ phần Thức ăn Chăn nuôi Việt Thắng,33,HSX
2228,VTG,Công ty cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,5.8,Upcom
2229,VTH,Công ty Cổ phần Dây cáp điện Việt Thái,9.5,HNX
2230,VTI,Công ty Cổ phần Sản xuất – Xuất nhập khẩu Dệt May,4,Upcom
2231,VTJ,Công ty cổ phần Thương mại và Đầu tư Vinataba,4.5,HNX
2232,VTK,Công ty cổ phần Tư vấn Thiết kế Viettel,30.5,Upcom
2233,VTL,Công ty Cổ phần Vang Thăng Long,30,HNX
2234,VTM,CTCP Vận tải và Đưa đón thợ mỏ - Vinacomin,21.8,Upcom
2235,VTO,Công ty Cổ phần Vận tải Xăng dầu VITACO,7.7,HSX
2236,VTP,Tổng CTCP Bưu chính Viettel,142.7,Upcom
2237,VTS,Công ty Cổ phần Viglacera Từ Sơn,14,HNX
2238,VTSC,Công ty Cổ phần Chứng khoán Việt Thành,,OTC
2239,VTSS,Công ty Cổ phần Chứng khoán Việt Tín,,OTC
2240,VTV,Công ty Cổ phần VICEM Vật tư Vận tải Xi măng,8.4,HNX
2241,VTVCAB,Tổng Công ty Truyền hình Cáp Việt Nam,,OTC
2242,VTX,Công ty cổ phần Vận tải đa phương thức Vietranstimex,22.9,Upcom
2243,VVDIF,Quỹ Đầu tư Khám phá Giá trị Ngân hàng Công Thương Việt Nam,,OTC
2244,VVN,Tổng Công ty cổ phần Xây dựng công nghiệp Việt Nam,4,Upcom
2245,VWS,Công ty Cổ phần Nước và Môi trường Việt Nam,16.5,Upcom
2246,VXB,Công ty Cổ phần Vật liệu xây dựng Bến Tre,9.9,HNX
2247,WASATCH,Wasatch Frontier Emerging Small Countries Fund,,OTC
2248,WCS,Công ty Cổ phần Bến xe Miền Tây,160.8,HNX
2249,WOORICBV,Công ty cổ phần Chứng khoán WOORI CBV,,OTC
2250,WSB,Công ty Cổ phần Bia Sài Gòn - Miền Tây,46.5,Upcom
2251,WSS,Công ty Cổ phần Chứng khoán Phố Wall,2.7,HNX
2252,WTC,CTCP Vận tải thủy - Vinacomin,4.5,Upcom
2253,WTN,Công ty Cổ phần Cấp thoát nước Tây Ninh,6,Upcom
2254,X18,Công ty Cổ phần Xi măng X18,3.9,Upcom
2255,X20,Công ty Cổ phần X20,9.4,HNX
2256,X26,Công ty cổ phần 26,14.6,Upcom
2257,X77,Công ty Cổ phần Thành An 77,0.3,Upcom
2258,XDH,Công ty cổ phần Đầu tư Xây dưng Dân dụng Hà Nội,10.4,Upcom
2259,XHC,Công ty cổ phần Xuân Hòa Việt Nam,26.5,Upcom
2260,XLV,Công ty Cổ phần Xây lắp và Dịch vụ Sông Đà,11,Upcom
2261,XMC,Công ty cổ phần Đầu tư và Xây dựng Xuân Mai,12.7,Upcom
2262,XMCP,CTCP Xi măng Cẩm Phả,,OTC
2263,XMCT,CTCP Xi măng Công Thanh,,OTC
2264,XMD,Công ty cổ phần Xuân Mai - Đạo Tú,2.7,Upcom
2265,XMHP,Công ty TNHH MTV Xi măng Vicem Hải Phòng,,OTC
2266,XMTD,Công ty TNHH MTV Xi măng Vicem Tam Điệp,,OTC
2267,XMXT,CTCP Xi măng Xuân Thành,,OTC
2268,XPH,Công ty Cổ phần Xà phòng Hà Nội,6.4,Upcom
2269,YAMAHAVN,Công ty TNHH Yamaha Motor Việt Nam,,OTC
2270,YAN,CTCP Công nghệ và Tầm nhìn Yêu âm nhạc,,OTC
2271,YBC,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái,45,Upcom
2272,YBM,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,10,HSX
2273,YEG,Công ty Cổ phần Tập đoàn Yeah1,81,HSX
2274,YENKHANH,Công ty TNHH Thương mại Dịch vụ Sản xuất Yên Khánh,,OTC
2275,YRC,CTCP Đường sắt Yên Lào,7.1,Upcom
2276,YSC,Công ty Cổ phần Hapaco Yên Sơn,6.3,HNX
2277,YSKH,Công ty TNHH Nhà nước MTV Yến sào Khánh Hòa,,OTC
2278,YTC,Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,77.3,Upcom
